Designator,Footprint,Quantity,Value,LCSC Part #
BAT1,JST_ACH_BM02B-ACHSS-GAN-ETF_1x02-1MP_P1.20mm_Vertical polarity independent,1,Battery,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D4, D5, D6, D7, D8, D9",D_SOD-123 with back soldermask,36,D,
"H1, H2, H3, H4, H5, H6, H7, H8",Mount_M2,8,Hole_Pad,
J1,PinHeader_1x05_P2.54mm_Vertical,1,nice!view,
PWR1,SW_MSK12C02-HB,1,Power Switch,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW4, SW5, SW6, SW7, SW8, SW9",SW_choc_v1v2_HSxSolder_1u_filets_MBK_blk fixxed flipped solder pads no back silk,36,SW_Push,
SW37,SW_SPST_SKQG_WithStem,1,Reset Switch,
